id_origen,id_destino,titulo_origen,titulo_destino,peso,similitud_porcentaje,direccion
11,3376,Current Thinking on Parole Prediction Tables,Horizontally scalable probabilistic generalized su,0.637298,63.7%,11 → 3376
11,2188,Current Thinking on Parole Prediction Tables,A very efficient encryption scheme for the H.264/A,0.648563,64.9%,11 → 2188
11,2100,Current Thinking on Parole Prediction Tables,SCLpredT: Ab initio and homology-based prediction ,0.658585,65.9%,11 → 2100
11,2492,Current Thinking on Parole Prediction Tables,A computational procedure for prediction of ballas,0.666119,66.6%,11 → 2492
11,308,Current Thinking on Parole Prediction Tables,The Validation of Computational Prediction Techniq,0.688904,68.9%,11 → 308
14,7924,Random Thoughts on Hybrid Computation,The Rise of Hybrid Educators,0.621969,62.2%,14 → 7924
14,2860,Random Thoughts on Hybrid Computation,Agile design meets hybrid models: Using modularity,0.661854,66.2%,14 → 2860
14,4434,Random Thoughts on Hybrid Computation,DNA Data Storage and Hybrid Molecular–Electronic C,0.664106,66.4%,14 → 4434
14,9455,Random Thoughts on Hybrid Computation,Formal Verification of Nonlinear Hybrid Systems Us,0.665462,66.5%,14 → 9455
14,8281,Random Thoughts on Hybrid Computation,Computational approach in presentation a parametri,0.750654,75.1%,14 → 8281
14,4127,Random Thoughts on Hybrid Computation,Stochastic Hybrid Systems in Cellular Neuroscience,0.784093,78.4%,14 → 4127
17,1201,Information System Organization for Tactical Comma,Towards a common principle of biological control —,0.601517,60.2%,17 → 1201
17,1084,Information System Organization for Tactical Comma,Eye-centered vs body-centered reaching control: A ,0.634893,63.5%,17 → 1084
18,8928,Objective Measures of Thinking Integrated with Psy,Teaching UbiComp With an Integrated Ethics and Soc,0.635411,63.5%,18 → 8928
19,2857,A computational compensation for measuring system ,Advances in Validation of Computational Mechanics ,0.612098,61.2%,19 → 2857
19,4371,A computational compensation for measuring system ,COMPUTATIONAL THINKING,0.619134,61.9%,19 → 4371
19,1,A computational compensation for measuring system ,Chapter VIII Computational Technics,0.664094,66.4%,19 → 1
19,159,A computational compensation for measuring system ,The Center for Computational Sciences At Oak Ridge,0.664094,66.4%,19 → 159
19,24,A computational compensation for measuring system ,Book Reviews : James L. Bruning and B. L. Kintz. C,0.664094,66.4%,19 → 24
19,2,A computational compensation for measuring system ,Chapter VI: Computational Technics,0.664094,66.4%,19 → 2
19,0,A computational compensation for measuring system ,Chapter VIII: Computational Technics,0.664094,66.4%,19 → 0
19,240,A computational compensation for measuring system ,Computational Astronomy: Five Centuries of Finding,0.693273,69.3%,19 → 240
20,8550,"Achievement, Anxiety and Creative Thinking",Getting Creative with DALL‐E,0.619024,61.9%,20 → 8550
20,8936,"Achievement, Anxiety and Creative Thinking",The Analysis of Aesthetic Preferences for Cultural,0.619603,62.0%,20 → 8936
20,3292,"Achievement, Anxiety and Creative Thinking",Computational thinking development through creativ,0.649164,64.9%,20 → 3292
20,2726,"Achievement, Anxiety and Creative Thinking",RoboCHAIR: Creative Assistant for Question Generat,0.658831,65.9%,20 → 2726
20,8823,"Achievement, Anxiety and Creative Thinking",Research and Development of Computer-Aided Creativ,0.664804,66.5%,20 → 8823
20,7092,"Achievement, Anxiety and Creative Thinking",Visual Sensitivity Controlling Colour Model in Cre,0.714575,71.5%,20 → 7092
20,351,"Achievement, Anxiety and Creative Thinking",Creative Interlocutor and Multimedia Dialog,0.88017,88.0%,20 → 351
20,100,"Achievement, Anxiety and Creative Thinking",p-creative sets vs. p-completely creative sets,0.908478,90.8%,20 → 100
21,9,Creative Thinking Abilities of Intellectually Supe,Wishful Thinking about Children's Thinking?,0.663656,66.4%,21 → 9
22,1975,Book Review: Field Analysis: Experimental and Comp,Computational Toxicology is Now Inseparable from E,0.619509,62.0%,22 → 1975
22,3730,Book Review: Field Analysis: Experimental and Comp,Compact tension fracture specimen: Experimental an,0.641176,64.1%,22 → 3730
24,4371,Book Reviews : James L. Bruning and B. L. Kintz. C,COMPUTATIONAL THINKING,0.776247,77.6%,24 → 4371
24,2648,Book Reviews : James L. Bruning and B. L. Kintz. C,Introduction to the Series on Computational Psychi,0.850508,85.1%,24 → 2648
24,240,Book Reviews : James L. Bruning and B. L. Kintz. C,Computational Astronomy: Five Centuries of Finding,0.8692,86.9%,24 → 240
24,2857,Book Reviews : James L. Bruning and B. L. Kintz. C,Advances in Validation of Computational Mechanics ,0.921704,92.2%,24 → 2857
25,6403,"Computational questions in optimal control, quasil",A new continuous hybrid block method with one opti,0.611718,61.2%,25 → 6403
25,3046,"Computational questions in optimal control, quasil",Multilevel hybrid method for optimal buffer sizing,0.624914,62.5%,25 → 3046
27,228,Relationship Between and Among Cognitive Variables,Restructuring Shapes in Terms of Emergent Subshape,0.639838,64.0%,27 → 228
27,2729,Relationship Between and Among Cognitive Variables,Ruminative Thinking: Lessons Learned From Cognitiv,0.649902,65.0%,27 → 2729
27,4180,Relationship Between and Among Cognitive Variables,Thinking with your fingers and touching with your ,0.653439,65.3%,27 → 4180
27,392,Relationship Between and Among Cognitive Variables,Evolutionary Psychology as Computational Theory in,0.660697,66.1%,27 → 392
27,741,Relationship Between and Among Cognitive Variables,The Autonomous Cognitive System,0.665495,66.5%,27 → 741
27,6793,Relationship Between and Among Cognitive Variables,Measuring Cognitive Loads while Learning Computati,0.683797,68.4%,27 → 6793
27,6288,Relationship Between and Among Cognitive Variables,Towards a Computational Cognitive Neuroscience Mod,0.692608,69.3%,27 → 6288
27,3249,Relationship Between and Among Cognitive Variables,"Butz, M. V., & Kutter, E. F. How the Mind Comes in",0.855037,85.5%,27 → 3249
28,5847,A Large-Scale Computational System for Lighting De,Efficiently Building a Large Scale Dataset for Pro,0.670193,67.0%,28 → 5847
28,641,A Large-Scale Computational System for Lighting De,"Visualizing Large-Scale Data in Educational, Behav",0.693504,69.4%,28 → 641
28,2410,A Large-Scale Computational System for Lighting De,Speeding up Large-Scale Financial Recomputation wi,0.701122,70.1%,28 → 2410
28,1924,A Large-Scale Computational System for Lighting De,Abnormal binding and disruption in large scale net,0.704236,70.4%,28 → 1924
28,6065,A Large-Scale Computational System for Lighting De,Optical vortices in waveguides with discrete and c,0.713905,71.4%,28 → 6065
28,938,A Large-Scale Computational System for Lighting De,Lessons Learned on Five Large-Scale System Develop,0.742846,74.3%,28 → 938
28,4810,A Large-Scale Computational System for Lighting De,Understanding Dyslexia Through Personalized Large-,0.755795,75.6%,28 → 4810
28,8303,A Large-Scale Computational System for Lighting De,Considerations for the use of plausible values in ,0.787454,78.7%,28 → 8303
29,673,Artificial Intelligence-A Case for Agnosticism,Defining Artificial Intelligence,0.612135,61.2%,29 → 673
29,7258,Artificial Intelligence-A Case for Agnosticism,Artificial intelligence and ChatGPT in Orthopaedic,0.625658,62.6%,29 → 7258
29,8580,Artificial Intelligence-A Case for Agnosticism,Humanizing The Role of Artificial Intelligence in ,0.639488,63.9%,29 → 8580
29,4350,Artificial Intelligence-A Case for Agnosticism,Artificial Intelligence Surpassing Human Intellige,0.639679,64.0%,29 → 4350
29,5819,Artificial Intelligence-A Case for Agnosticism,Discursive framing and organizational venues: mech,0.64494,64.5%,29 → 5819
35,2801,Computational Methods for Entry Length Heat Transf,Trust transfer between contexts,0.611848,61.2%,35 → 2801
36,8777,Cognitive Style and Children's Computational Error,Population Analysis of Children's Clothing/Toys St,0.743167,74.3%,36 → 8777
38,4395,From engineering to cybernetics,"Computation, Gender, and Engineering Identity Amon",0.638671,63.9%,38 → 4395
39,5719,Lower bounds on information transfer in distribute,Characterization of point-spread function specific,0.629892,63.0%,39 → 5719
41,4463,The Computer in Choreography,Digital Legacies on Paper: Reading Punchcards with,0.618712,61.9%,41 → 4463
41,1661,The Computer in Choreography,The thinking about teaching basic computer courses,0.626232,62.6%,41 → 1661
41,1396,The Computer in Choreography,Teaching research and thinking on the computer cou,0.635294,63.5%,41 → 1396
41,997,The Computer in Choreography,To Play with a Computer System,0.654368,65.4%,41 → 997
41,4237,The Computer in Choreography,4 COMPUTER SCIENCE,0.699224,69.9%,41 → 4237
41,1520,The Computer in Choreography,Computational thinking and computer fundamental ed,0.71135,71.1%,41 → 1520
41,8,The Computer in Choreography,Man-Computer Symbiosis,0.712725,71.3%,41 → 8
41,5177,The Computer in Choreography,From the experimentation to the unification: how t,0.739555,74.0%,41 → 5177
42,4643,The Lens Model: Computational Procedures and Appli,Orthogonality is superiority in piecewise-polynomi,0.600325,60.0%,42 → 4643
44,9563,Teaching Computational Skills to Adults,Learning Marine Biology Quantitative Skills Throug,0.707694,70.8%,44 → 9563
45,588,Perception of Surface Slant and Edge Labels from O,Computational Study of the Risø-B1-18 Airfoil with,0.605604,60.6%,45 → 588
45,3883,Perception of Surface Slant and Edge Labels from O,Impingement of a propeller-slipstream on a leading,0.87533,87.5%,45 → 3883
46,2721,Technology in Science Education: The Next 10 Years,Research trends on argumentation in science educat,0.629054,62.9%,46 → 2721
52,98,The Importance of Computational Skill for Answerin,The Effects of Using Calculators to Reduce the Com,0.706998,70.7%,52 → 98
54,5408,Networks: Wiring a nation,Social and economic flows across multimodal transp,0.663162,66.3%,54 → 5408
57,1630,Computational Theories of Vision,Review: Seeing: The Computational Approach to Biol,0.644672,64.5%,57 → 1630
58,5676,Telephone communication between deaf and hearing p,Approaching Transcultural Communication: Interview,0.621483,62.1%,58 → 5676
62,203,"Imagery, Regressive Thinking, and Verbal Performan",Research news and Comment: Parents’ Thinking About,0.852579,85.3%,62 → 203
63,7092,A Theory of Productivity in the Creative Process,Visual Sensitivity Controlling Colour Model in Cre,0.620476,62.0%,63 → 7092
64,4838,Computational Foundations of Architectural Design,Winners of the Breheny Prize,0.768936,76.9%,64 → 4838
64,1089,Computational Foundations of Architectural Design,Genomics of microbial pathogens and host–pathogen ,0.768936,76.9%,64 → 1089
64,9368,Computational Foundations of Architectural Design,Editorial: Post-Mortem interview with Nikola Tesla,0.768936,76.9%,64 → 9368
64,6070,Computational Foundations of Architectural Design,Overview,0.768936,76.9%,64 → 6070
64,842,Computational Foundations of Architectural Design,News Briefs,0.768936,76.9%,64 → 842
64,1226,Computational Foundations of Architectural Design,A half-century makes a difference,0.768936,76.9%,64 → 1226
64,8310,Computational Foundations of Architectural Design,Contests,0.768936,76.9%,64 → 8310
64,240,Computational Foundations of Architectural Design,Computational Astronomy: Five Centuries of Finding,0.854897,85.5%,64 → 240
65,3067,Education for Thinking,Pension System Solvency — From Linguistics to Econ,0.752502,75.3%,65 → 3067
65,4685,Education for Thinking,REFERENCES AND FURTHER READING,0.752502,75.3%,65 → 4685
65,2221,Education for Thinking,Boris Kaus receives 2012 Paul Niggli Medal,0.752502,75.3%,65 → 2221
65,9368,Education for Thinking,Editorial: Post-Mortem interview with Nikola Tesla,0.752502,75.3%,65 → 9368
65,3537,Education for Thinking,Tribute to Seymour Papert (1928–2016),0.752502,75.3%,65 → 3537
65,4371,Education for Thinking,COMPUTATIONAL THINKING,0.794108,79.4%,65 → 4371
65,3359,Education for Thinking,Forward Thinking,0.862513,86.3%,65 → 3359
65,496,Education for Thinking,Thinking About the Mind,0.862513,86.3%,65 → 496
67,258,On parallel stereo,Parallel rendering techniques for massively parall,0.616565,61.7%,67 → 258
67,1686,On parallel stereo,A Paradigm of Extensions of Parallel Execution Mod,0.621768,62.2%,67 → 1686
67,248,On parallel stereo,Integer sorting algorithms for coarse-grained para,0.622276,62.2%,67 → 248
67,178,On parallel stereo,Performance of a fully parallel sparse solver,0.627047,62.7%,67 → 178
67,1815,On parallel stereo,Outage minimization for parallel fading channels w,0.627078,62.7%,67 → 1815
67,1253,On parallel stereo,Best-effort computing: Re-thinking parallel softwa,0.651775,65.2%,67 → 1253
68,5747,Spread of Fire Effects Between Rooms: A Computatio,Computational analysis of the effects of interpros,0.629616,63.0%,68 → 5747
73,6111,Information Technology and Education: Computer Cri,Reform of College Physical Education Model Based o,0.601879,60.2%,73 → 6111
73,6134,Information Technology and Education: Computer Cri,Research on the application of computer technology,0.628271,62.8%,73 → 6134
73,994,Information Technology and Education: Computer Cri,Thinking of promoting basic computer education to ,0.644949,64.5%,73 → 994
74,2429,Thinking Aloud: Analysing Students' Mathematics Pe,The Effects of Schema-Based Instruction on the Pro,0.684933,68.5%,74 → 2429
75,141,A cellular automata simulation of two-phase flow o,Simulation of particle mixing by turbulent convect,0.674039,67.4%,75 → 141
75,2569,A cellular automata simulation of two-phase flow o,Computational simulation of air flow in the rotor ,0.72203,72.2%,75 → 2569
76,6941,A quantitative model-based expert system for LAN d,Robot Control Using Model-Based Reinforcement Lear,0.617033,61.7%,76 → 6941
76,5312,A quantitative model-based expert system for LAN d,Pathfinding Model-Based Mission Assurance: S&MA Re,0.629911,63.0%,76 → 5312
76,2723,A quantitative model-based expert system for LAN d,Residual Strength of Corroded Reinforced Concrete ,0.64479,64.5%,76 → 2723
76,3284,A quantitative model-based expert system for LAN d,Computational model-based design of leadership sup,0.654465,65.4%,76 → 3284
76,1682,A quantitative model-based expert system for LAN d,A Honghe Wetland Hydrologic Balance Model Based on,0.676924,67.7%,76 → 1682
76,352,A quantitative model-based expert system for LAN d,Designing a model-based interaction planner with d,0.701403,70.1%,76 → 352
76,2743,A quantitative model-based expert system for LAN d,Software reliability growth model based on Bohrbug,0.748882,74.9%,76 → 2743
76,6137,A quantitative model-based expert system for LAN d,Residual feedback suppression with extended model-,0.859165,85.9%,76 → 6137
79,845,Comparison of Supercomputers and Mini- Supercomput,Pseudo-transient computational fluid dynamics anal,0.87282,87.3%,79 → 845
79,5211,Comparison of Supercomputers and Mini- Supercomput,Improving computational fluid dynamics modeling of,0.875789,87.6%,79 → 5211
79,1245,Comparison of Supercomputers and Mini- Supercomput,Applications of Computational Fluid Dynamics (CFD),0.879641,88.0%,79 → 1245
79,285,Comparison of Supercomputers and Mini- Supercomput,Computational fluid dynamics for turbomachinery de,0.883221,88.3%,79 → 285
79,391,Comparison of Supercomputers and Mini- Supercomput,Estimation of wall shear stress in bypass grafts w,0.884367,88.4%,79 → 391
79,8286,Comparison of Supercomputers and Mini- Supercomput,Computational fluid dynamics in cardiac surgery an,0.897883,89.8%,79 → 8286
79,311,Comparison of Supercomputers and Mini- Supercomput,Use of computational fluid dynamics in hydrodynami,0.918661,91.9%,79 → 311
79,3458,Comparison of Supercomputers and Mini- Supercomput,Reproducible and Replicable Computational Fluid Dy,0.92063,92.1%,79 → 3458
80,3272,Developing Thinking Skills with Computers,Computational Thinking Skills for Today and Tomorr,0.623103,62.3%,80 → 3272
82,2163,Interactive scientific visualization and parallel ,A Simple and Real-Time Parallel Compression of Tim,0.612438,61.2%,82 → 2163
83,5417,Object recognition using the Connection Machine,Support vector machine based feature extraction fo,0.607008,60.7%,83 → 5417
86,4238,Systolic FFT algorithms on Boolean cube networks,4 NEWSWORTHY ALGORITHMS: ALL NEWS IS LOCAL,0.607629,60.8%,86 → 4238
87,8286,A Computational Fluid Dynamics Algorithm On a Mass,Computational fluid dynamics in cardiac surgery an,0.782873,78.3%,87 → 8286
87,1245,A Computational Fluid Dynamics Algorithm On a Mass,Applications of Computational Fluid Dynamics (CFD),0.783187,78.3%,87 → 1245
87,391,A Computational Fluid Dynamics Algorithm On a Mass,Estimation of wall shear stress in bypass grafts w,0.784678,78.5%,87 → 391
87,3409,A Computational Fluid Dynamics Algorithm On a Mass,Mesh partitioning using matrix value approximation,0.793677,79.4%,87 → 3409
87,507,A Computational Fluid Dynamics Algorithm On a Mass,Analysis of Thermal Comfort Near Cold Vertical Sur,0.797308,79.7%,87 → 507
87,311,A Computational Fluid Dynamics Algorithm On a Mass,Use of computational fluid dynamics in hydrodynami,0.814251,81.4%,87 → 311
87,3458,A Computational Fluid Dynamics Algorithm On a Mass,Reproducible and Replicable Computational Fluid Dy,0.816854,81.7%,87 → 3458
87,79,A Computational Fluid Dynamics Algorithm On a Mass,Comparison of Supercomputers and Mini- Supercomput,0.833514,83.4%,87 → 79
92,8,Expanding human-computer interaction by computer a,Man-Computer Symbiosis,0.652893,65.3%,92 → 8
93,1603,Maintaining representations of the environment of ,On the feasibility of a channel-dependent scheduli,0.619393,61.9%,93 → 1603
94,5228,Restructuring Teacher Education Programs for Highe,Interruptions: Thinking-in-Action in Teacher Educa,0.641031,64.1%,94 → 5228
94,4021,Restructuring Teacher Education Programs for Highe,Research That Illuminates Enduring Dilemmas in Tea,0.67195,67.2%,94 → 4021
97,2942,Telecommunications set free-the era of personal co,Durated paths in Petrinet,0.603211,60.3%,97 → 2942
98,52,The Effects of Using Calculators to Reduce the Com,The Importance of Computational Skill for Answerin,0.706998,70.7%,98 → 52
100,3292,p-creative sets vs. p-completely creative sets,Computational thinking development through creativ,0.642409,64.2%,100 → 3292
100,8550,p-creative sets vs. p-completely creative sets,Getting Creative with DALL‐E,0.645266,64.5%,100 → 8550
100,8936,p-creative sets vs. p-completely creative sets,The Analysis of Aesthetic Preferences for Cultural,0.645869,64.6%,100 → 8936
100,351,p-creative sets vs. p-completely creative sets,Creative Interlocutor and Multimedia Dialog,0.686427,68.6%,100 → 351
100,2726,p-creative sets vs. p-completely creative sets,RoboCHAIR: Creative Assistant for Question Generat,0.686761,68.7%,100 → 2726
100,8823,p-creative sets vs. p-completely creative sets,Research and Development of Computer-Aided Creativ,0.692987,69.3%,100 → 8823
100,7092,p-creative sets vs. p-completely creative sets,Visual Sensitivity Controlling Colour Model in Cre,0.744868,74.5%,100 → 7092
100,20,p-creative sets vs. p-completely creative sets,"Achievement, Anxiety and Creative Thinking",0.908478,90.8%,100 → 20
103,7108,Case studies of design methodologies: a survey,“Legibility” a product of obligatory processes in ,0.633959,63.4%,103 → 7108
103,6073,Case studies of design methodologies: a survey,Parametric Urban Design Thinking: Shared Patterns ,0.643051,64.3%,103 → 6073
103,1329,Case studies of design methodologies: a survey,Interpretation of parametric design,0.645739,64.6%,103 → 1329
103,2446,Case studies of design methodologies: a survey,To design is to design oneself,0.655174,65.5%,103 → 2446
103,2116,Case studies of design methodologies: a survey,Sustainable and green manufacturing and materials ,0.660285,66.0%,103 → 2116
103,873,Case studies of design methodologies: a survey,A Design Thinking Process Model for Capturing and ,0.675054,67.5%,103 → 873
103,961,Case studies of design methodologies: a survey,Representing Design Intent for Computer-supported ,0.675694,67.6%,103 → 961
103,1918,Case studies of design methodologies: a survey,A reconstruction method of the design rationale mo,0.681105,68.1%,103 → 1918
105,6052,Flow Visualization in Computational Fluid Dynamics,Numerical modeling of blood flow in the internal j,0.707202,70.7%,105 → 6052
105,3143,Flow Visualization in Computational Fluid Dynamics,The use of computational fluid dynamics in the ana,0.707791,70.8%,105 → 3143
105,163,Flow Visualization in Computational Fluid Dynamics,An Initial Parametric Study on Fluid Flow Through ,0.716386,71.6%,105 → 163
105,4941,Flow Visualization in Computational Fluid Dynamics,Analysis of flow field and hemolysis index in axia,0.718481,71.8%,105 → 4941
105,4654,Flow Visualization in Computational Fluid Dynamics,Performance comparison of a structured bed reactor,0.719324,71.9%,105 → 4654
105,4632,Flow Visualization in Computational Fluid Dynamics,Numerical simulation of lignocellulosic biomass ga,0.741676,74.2%,105 → 4632
105,289,Flow Visualization in Computational Fluid Dynamics,Equations for a Ventilation Design Derived from Co,0.758835,75.9%,105 → 289
105,8151,Flow Visualization in Computational Fluid Dynamics,Analysis of fluid forces impacting on the impeller,0.803876,80.4%,105 → 8151
107,2431,"Information, uncertainty and intelligence (hard lo",The Operationalization of the unconscious from Mat,0.610067,61.0%,107 → 2431
107,160,"Information, uncertainty and intelligence (hard lo",The Zen of fuzzy logic and neural networks,0.613362,61.3%,107 → 160
107,1531,"Information, uncertainty and intelligence (hard lo","DALI, RASP, mnemosine: Computational Logic at work",0.629072,62.9%,107 → 1531
107,1602,"Information, uncertainty and intelligence (hard lo",On the application of fuzzy logic in the computer ,0.637866,63.8%,107 → 1602
107,6155,"Information, uncertainty and intelligence (hard lo",SecRSL: security separation logic for C11 release-,0.65246,65.2%,107 → 6155
107,1451,"Information, uncertainty and intelligence (hard lo",A journey in Computational Logic in Italy,0.668337,66.8%,107 → 1451
107,1024,"Information, uncertainty and intelligence (hard lo",Advances in Computational Logic (CILC08),0.693438,69.3%,107 → 1024
107,3400,"Information, uncertainty and intelligence (hard lo",Keynote speakers: From fuzzy logic to neutrosophic,0.81558,81.6%,107 → 3400
108,5676,Mapping and Compiled Communication on the Connecti,Approaching Transcultural Communication: Interview,0.698172,69.8%,108 → 5676
109,6644,Teamwork plus technology cuts development time,Drug repurposing: re-inventing therapies for cance,0.615708,61.6%,109 → 6644
110,2816,Thinking with Numbers: An Informal Look,18th European Symposium on Radiopharmacy and Radio,0.66525,66.5%,110 → 2816
111,6559,A Computational Modelling Approach to the Design o,Computational modelling of turbulent Taylor–Couett,0.617771,61.8%,111 → 6559
111,1208,A Computational Modelling Approach to the Design o,Wake-tracking and turbulence modelling in computat,0.637429,63.7%,111 → 1208
111,8291,A Computational Modelling Approach to the Design o,Computational optimisation and modelling of sacrif,0.670103,67.0%,111 → 8291
111,7163,A Computational Modelling Approach to the Design o,A computational multiscale approach towards the mo,0.721764,72.2%,111 → 7163
112,7095,Artificial linearization in the version space algo,Waterscapes and hydrosocial territories: Thinking ,0.627894,62.8%,112 → 7095
112,9655,Artificial linearization in the version space algo,Probing mental representations of space through sk,0.645003,64.5%,112 → 9655
112,1926,Artificial linearization in the version space algo,Adaptive generalized space shift keying,0.685927,68.6%,112 → 1926
112,6306,Artificial linearization in the version space algo,Unfolding the dynamical structure of Lisbon’s publ,0.689024,68.9%,112 → 6306
112,4741,Artificial linearization in the version space algo,Simulation study of near-Earth space disturbances:,0.713514,71.4%,112 → 4741
112,643,Artificial linearization in the version space algo,A Fast Sphere Decoding Algorithm for Space-Frequen,0.783507,78.4%,112 → 643
112,535,Artificial linearization in the version space algo,On some Banach space constants arising in nonlinea,0.788214,78.8%,112 → 535
113,2242,Computational Fluid Dynamics without Complex Mathe,Computational fluid dynamics modeling of combustio,0.740295,74.0%,113 → 2242
113,347,Computational Fluid Dynamics without Complex Mathe,Computational fluid dynamics applied to a cement p,0.742101,74.2%,113 → 347
113,911,Computational Fluid Dynamics without Complex Mathe,Computational fluid dynamics analysis of a journal,0.74364,74.4%,113 → 911
113,4138,Computational Fluid Dynamics without Complex Mathe,Synergistic integration of computational fluid dyn,0.749533,75.0%,113 → 4138
113,5030,Computational Fluid Dynamics without Complex Mathe,Computational fluid dynamics: a primer for congeni,0.751386,75.1%,113 → 5030
113,285,Computational Fluid Dynamics without Complex Mathe,Computational fluid dynamics for turbomachinery de,0.766814,76.7%,113 → 285
113,79,Computational Fluid Dynamics without Complex Mathe,Comparison of Supercomputers and Mini- Supercomput,0.786328,78.6%,113 → 79
113,8286,Computational Fluid Dynamics without Complex Mathe,Computational fluid dynamics in cardiac surgery an,0.799171,79.9%,113 → 8286
114,3874,Computational Methods for Task-directed Sensor Dat,How the stimulus influences mind wandering in sema,0.709983,71.0%,114 → 3874
115,811,Computational Science At the Supercomputer Computa,Free Science,0.674677,67.5%,115 → 811
115,7195,Computational Science At the Supercomputer Computa,Accelerating Precision Research and Resolution Thr,0.687309,68.7%,115 → 7195
116,2722,Computational Strategies for Tracing Post-Limit-Po,Residential electrical vehicle charging strategies,0.616999,61.7%,116 → 2722
116,5120,Computational Strategies for Tracing Post-Limit-Po,Effects of human stature and muscle strength on th,0.627058,62.7%,116 → 5120
